,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
147,chol,0.022111687137850358,Choline,HMDB00097,C00114,305.0,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,EX_chol_m,EX_chol(e)
148,etha,0.006377731411556713,etha[c],HMDB00149,C00189,700.0,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",,EX_etha_m,EX_etha(e)
149,glcn,0.03720336181333159,D-gluconate,HMDB00625,C00257,10690.0,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5-/m1/s1",,EX_glcn_m,EX_glcn(e)
150,oxa,0.00988297334807218,oxalate(2-),HMDB02329,C00209,971.0,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)/p-2",,EX_oxa_m,EX_oxa(e)
151,tsul,0.0002357509387184892,thiosulfate(2-),HMDB00257,C05529,1084.0,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_tsul_m,EX_tsul(e)
152,gthrd,0.022111687137850358,Reduced glutathione,HMDB00125,C00051,124886.0,,,EX_gthrd_m,EX_gthrd(e)
153,mantr,0.044096328494370444,"mannotriose (beta-1,4)",,,,,,EX_mantr_m,EX_mantr(e)
154,raffin,0.005198396838968989,Raffinose,,,,,,EX_raffin_m,EX_raffin(e)
155,stys,0.09502895195089771,Stachyose,,,,,,EX_stys_m,EX_stys(e)
156,acac,0.0013227412462215038,acetoacetate,HMDB00060,C00164,96.0,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_acac_m,EX_acac(e)
157,bhb,0.04168621879252582,(R)-3-hydroxybutyrate,HMDB00011,C01089,,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",,EX_bhb_m,EX_bhb(e)
158,ocdcea,0.019008379873365667,octadecenoate (n-C18:1),HMDB00207,C00712,5460221.0,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9-",,EX_ocdcea_m,EX_ocdcea(e)
159,acnam,0.022111687137850358,N-acetylneuraminate,HMDB00230,C19910,439197.0,,,EX_acnam_m,EX_acnam(e)
160,ncam,0.032173764489228394,Nicotinamide,HMDB01406,C00153,936.0,,,EX_ncam_m,EX_ncam(e)
161,adn,0.022471344902606466,Adenosine,HMDB00050,C00212,60961.0,,,EX_adn_m,EX_adn(e)
162,chor,2.346139307059707,chorismate,,,,,,EX_chor_m,EX_chor(e)
163,2ddglcn,0.21140371736705557,2-Dehydro-3-deoxy-D-gluconate,,,,,,EX_2ddglcn_m,EX_2ddglcn(e)
164,5mta,0.0006892400830208848,5-Methylthioadenosine,HMDB01173,C00170,439176.0,,,EX_5mta_m,EX_5mta(e)
165,arab_D,0.11055843568925178,D-Arabinose,,,,,,EX_arab_D_m,EX_arab_D(e)
166,n2o,0.04885501072832364,Nitrous oxide,,,,,,EX_n2o_m,EX_n2o(e)
167,tmao,0.016589663645931566,Trimethylamine N-oxide,,,,,,EX_tmao_m,EX_tmao(e)
168,core2,1.0,Core 2,,,,,,EX_core2_m,EX_core2(e)
169,core2_rl,1.0,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
170,core3,1.0,Core 3,,,,,,EX_core3_m,EX_core3(e)
171,core6,1.0,Core 6,,,,,,EX_core6_m,EX_core6(e)
172,core8,1.0,Core 8,,,,,,EX_core8_m,EX_core8(e)
173,dextrin,0.029953736925384073,Dextrin,,C00721,,,,EX_dextrin_m,EX_dextrin(e)
174,fuc_L,0.02814954767817179,L-fucose,HMDB00174,C01019,17106.0,,,EX_fuc_L_m,EX_fuc_L(e)
175,no,0.21965734542487791,Nitric oxide,HMDB03378,C00533,145068.0,InChI=1S/NO/c1-2,,EX_no_m,EX_no(e)
176,core4,1.0,Core 4,,,,,,EX_core4_m,EX_core4(e)
177,core4_rl,1.0,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
178,core5,1.0,Core 5,,,,,,EX_core5_m,EX_core5(e)
179,core7,1.0,Core 7,,,,,,EX_core7_m,EX_core7(e)
180,gncore1,1.0,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
181,gncore1_rl,1.0,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
182,gncore2,1.0,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
183,gncore2_rl,1.0,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
184,pullulan1200,1.304589541133171e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",,,,,,EX_pullulan1200_m,EX_pullulan1200(e)
185,din,0.0003609279635667523,Deoxyinosine,HMDB00071,C05512,65058.0,"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1",,EX_din_m,EX_din(e)
186,duri,0.0006216269660907218,Deoxyuridine,HMDB00012,C00526,13712.0,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",,EX_duri_m,EX_duri(e)
187,galur,0.16308365837903993,D-Galacturonate,,,,,,EX_galur_m,EX_galur(e)
188,gchola,1.0,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
189,glcur,0.022541119070582313,D-glucuronate,HMDB00127,C00191,444791.0,,,EX_glcur_m,EX_glcur(e)
190,gsn,0.1100393406565777,Guanosine,HMDB00133,C00387,6802.0,,,EX_gsn_m,EX_gsn(e)
191,indole,0.11055843568925178,Indole,,,,,,EX_indole_m,EX_indole(e)
192,tchola,1.0,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
193,melib,0.00823582954979932,Melibiose,,,,,,EX_melib_m,EX_melib(e)
194,cellb,0.11353954108826803,cellobiose,,,,,,EX_cellb_m,EX_cellb(e)
195,actn_R,0.25459154401480705,(R)-Acetoin,,,,,,EX_actn_R_m,EX_actn_R(e)
196,amp,0.022111687137850358,AMP,HMDB00045,C00020,6083.0,,,EX_amp_m,EX_amp(e)
197,pyr,0.03312647591269805,pyruvate,HMDB00243,C00022,1060.0,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",,EX_pyr_m,EX_pyr(e)
198,lanost,0.022111687137850358,lanosterol,HMDB01251,C01724,246983.0,,,EX_lanost_m,EX_lanost(e)
199,inulin,0.0018623370022031755,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average",,C03323,,,,EX_inulin_m,EX_inulin(e)
200,phenol,3.4234419611176797e-05,Phenol,,,,,,EX_phenol_m,EX_phenol(e)
201,mobd,0.11055843568925178,Molybdate,,,,,,EX_mobd_m,EX_mobd(e)
202,kestopt,0.003119038103381393,"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)",,,,,,EX_kestopt_m,EX_kestopt(e)
203,pime,0.11055843568925178,Pimelate,,,,,,EX_pime_m,EX_pime(e)
204,meoh,2.2111687137850353,methanol,HMDB01875,C00132,887.0,"InChI=1S/CH4O/c1-2/h2H,1H3",,EX_meoh_m,EX_meoh(e)
205,pect,7.385303504042018e-06,pectins,,,,,,EX_pect_m,EX_pect(e)
206,amylopect900,1.7357674403212525e-05,"Amylopectin, 900 repeat units",,C00317,,,,EX_amylopect900_m,EX_amylopect900(e)
207,amylose300,5.1962464773948326e-05,"amylose (n=300 repeat units, alpha-1,4-glc)",,,,,,EX_amylose300_m,EX_amylose300(e)
208,xylan,0.00027017276901197183,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D",,,,,,EX_xylan_m,EX_xylan(e)
209,arabinogal,2.4212297415946137e-05,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",,C00569,,,,EX_arabinogal_m,EX_arabinogal(e)
210,homogal,0.000141774610006112,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>",,,,,,EX_homogal_m,EX_homogal(e)
211,rhamnogalurI,1.6030973174941498e-05,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)",,,,,,EX_rhamnogalurI_m,EX_rhamnogalurI(e)
212,arabinan101,0.00018383325011101716,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>",,C02474,,,,EX_arabinan101_m,EX_arabinan101(e)
213,arabinoxyl,0.00033902633745673365,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D",,,,,,EX_arabinoxyl_m,EX_arabinoxyl(e)
214,bglc,1.55887394321845e-08,beta-glucans,,,,,,EX_bglc_m,EX_bglc(e)
215,dextran40,0.0022077684387106166,"Dextran 40, 1,6-alpha-D-Glucan",,C00372,,,,EX_dextran40_m,EX_dextran40(e)
216,galmannan,1.55887394321845e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed",,,,,,EX_galmannan_m,EX_galmannan(e)
217,glcmannan,3.637372534176382e-05,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D",,,,,,EX_glcmannan_m,EX_glcmannan(e)
218,levan1000,1.55887394321845e-05,"Levan, 1000 fructose units",,,,,,EX_levan1000_m,EX_levan1000(e)
219,lichn,9.176350162207897e-05,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951",,C00478,,,,EX_lichn_m,EX_lichn(e)
220,lmn30,0.0005198402366890773,"laminarin (n=30 repeat units, beta -1,3 glc)",,,,,,EX_lmn30_m,EX_lmn30(e)
221,xyluglc,1.4483155075291982e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L",,,,,,EX_xyluglc_m,EX_xyluglc(e)
222,rhamnogalurII,0.0002951766506936626,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>",,,,,,EX_rhamnogalurII_m,EX_rhamnogalurII(e)
223,acmana,0.022111687137850358,N-acetyl-D-mannosamine,HMDB01129,C00645,439281.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6-,7-,8-/m0/s1",,EX_acmana_m,EX_acmana(e)
224,starch1200,1.620081469922763e-05,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)",,,,,,EX_starch1200_m,EX_starch1200(e)
225,coa,6.193e-05,Coenzyme A,HMDB01423,C00010,6816.0,,,EX_coa_m,EX_coa(e)
226,gtp,0.0013541,GTP,HMDB01273,C00044,6830.0,,,EX_gtp_m,EX_gtp(e)
227,thmmp,1.7556016236839045e-05,Thiamin monophosphate,HMDB02666,C01081,3382778.0,,,EX_thmmp_m,EX_thmmp(e)
228,cellul,0.1,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587",,,,,,EX_cellul_m,EX_cellul(e)
229,amet,0.022111687137850358,S-Adenosyl-L-methionine,HMDB01185,C00019,34756.0,,,EX_amet_m,EX_amet(e)
230,nadp,3.096500000000085e-05,Nicotinamide adenine dinucleotide phosphate,HMDB00217,C00006,5886.0,,,EX_nadp_m,EX_nadp(e)
231,sel,0.11055843568925178,selenate,,C05697,1089.0,"InChI=1S/H2O4Se/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_sel_m,EX_sel(e)
232,5aptn,0.48345751692719996,5-Aminopentanoate,,,3720.0,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)",,EX_5aptn_m,EX_5aptn(e)
233,ph2s,0.002057713605048354,Polysulfide,,,,,,EX_ph2s_m,EX_ph2s(e)
234,chsterol,6.120838764274085e-05,cholesterol,HMDB00067,C00187,5997.0,,,EX_chsterol_m,EX_chsterol(e)
235,fald,0.022111687137850358,formaldehyde,HMDB01426,C00067,712.0,InChI=1S/CH2O/c1-2/h1H2,,EX_fald_m,EX_fald(e)
